,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
1,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,TV,64.0,Finished Airing,2009,Bones,Manga,Action,Military,Shounen,24.0,R - 17+ (violence & profanity),9.131,900398.0
2,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama Love is War - Ultra Romantic,TV,13.0,Finished Airing,2022,A-1 Pictures,Manga,Comedy,Psychological,Seinen,23.0,PG-13 - Teens 13 or older,9.121,335909.0
3,Gintama°,Gintama Season 4,TV,51.0,Finished Airing,2015,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.081,222441.0
4,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,TV,10.0,Finished Airing,2019,Wit Studio,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),9.071,357688.0
5,Gintama',Gintama Season 2,TV,51.0,Finished Airing,2011,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.051,213983.0
6,Gintama: The Final,Gintama The Very Final,Movie,1.0,Finished Airing,2021,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,104.0,PG-13 - Teens 13 or older,9.051,54154.0
7,Gintama': Enchousen,Gintama Enchousen,TV,13.0,Finished Airing,2012,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.041,149578.0
8,Gintama.,Gintama Season 5,TV,12.0,Finished Airing,2017,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.991,129977.0
9,3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season,TV,22.0,Finished Airing,2017,Shaft,Manga,Drama,Childcare,Seinen,25.0,PG-13 - Teens 13 or older,8.951,181281.0
10,Gintama,Gintama,TV,201.0,Finished Airing,2006,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.951,365222.0
11,Koe no Katachi,A Silent Voice,Movie,1.0,Finished Airing,2016,Kyoto Animation,Manga,Drama,Romantic Subtext,Shounen,130.0,PG-13 - Teens 13 or older,8.951,423905.0
12,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama. Silver Soul Arc - Second Half War,TV,14.0,Finished Airing,2018,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.891,82873.0
13,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer Kimetsu no Yaiba Entertainment District Arc,TV,11.0,Finished Airing,2021,ufotable,Manga,Action,Historical,Shounen,26.0,R - 17+ (violence & profanity),8.851,604806.0
14,Monster,Monster,TV,74.0,Finished Airing,2004,Madhouse,Manga,Drama,Adult Cast,Seinen,24.0,R+ - Mild Nudity,8.841,321136.0
15,Shingeki no Kyojin: The Final Season,Attack on Titan The Final Season,TV,16.0,Finished Airing,2020,MAPPA,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),8.821,108459.0
16,Kingdom 3rd Season,Kingdom Season 3,TV,26.0,Finished Airing,2020,"Pierrot, Studio Signpost",Manga,Action,Historical,Seinen,25.0,R - 17+ (violence & profanity),8.821,27715.0
17,Kingdom 4th Season,Kingdom Season 4,TV,26.0,Currently Airing,2022,"Pierrot, Studio Signpost",Manga,Action,Historical,Seinen,24.0,R - 17+ (violence & profanity),8.821,8011.0
18,Gintama.: Shirogane no Tamashii-hen,Gintama. Silver Soul Arc,TV,12.0,Finished Airing,2018,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.811,90964.0
19,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan The Final Season Part 2,TV,12.0,Finished Airing,2022,MAPPA,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),8.801,500193.0
20,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,TV,10.0,Finished Airing,2016,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.791,714780.0
21,Hajime no Ippo,Fighting Spirit,TV,75.0,Finished Airing,2000,Madhouse,Manga,Sports,Combat Sports,Shounen,23.0,PG-13 - Teens 13 or older,8.751,245115.0
22,Mushishi Zoku Shou 2nd Season,Mushi-shi Next Passage Part 2,TV,10.0,Finished Airing,2014,Artland,Manga,Adventure,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,8.741,96588.0
23,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories Showa Genroku Rakugo Shinju,TV,12.0,Finished Airing,2017,Studio Deen,Manga,Drama,Adult Cast,Josei,24.0,PG-13 - Teens 13 or older,8.741,60311.0
24,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X Trust and Betrayal,OVA,4.0,Finished Airing,1999,Studio Deen,Manga,Action,Adult Cast,Shounen,30.0,R - 17+ (violence & profanity),8.711,130918.0
25,Ashita no Joe 2,Tomorrow's Joe 2,TV,47.0,Finished Airing,1980,Tokyo Movie Shinsha,Manga,Action,Combat Sports,Shounen,24.0,PG-13 - Teens 13 or older,8.711,17003.0
26,Mushishi Zoku Shou,Mushi-shi Next Passage Part 1,TV,10.0,Finished Airing,2014,Artland,Manga,Adventure,Adult Cast,Seinen,24.0,PG-13 - Teens 13 or older,8.701,109181.0
27,Great Teacher Onizuka,Great Teacher Onizuka,TV,43.0,Finished Airing,1999,Pierrot,Manga,Comedy,Delinquents,Shounen,25.0,R - 17+ (violence & profanity),8.691,369711.0
28,Jujutsu Kaisen,Jujutsu Kaisen,TV,24.0,Finished Airing,2020,MAPPA,Manga,Action,School,Shounen,23.0,R - 17+ (violence & profanity),8.671,291912.0
29,Mushishi,Mushi-Shi,TV,26.0,Finished Airing,2005,Artland,Manga,Adventure,Adult Cast,Seinen,25.0,PG-13 - Teens 13 or older,8.671,258343.0
30,Shigatsu wa Kimi no Uso,Your Lie in April,TV,22.0,Finished Airing,2014,A-1 Pictures,Manga,Drama,Music,Shounen,22.0,PG-13 - Teens 13 or older,8.661,224172.0
31,Hajime no Ippo: New Challenger,Fighting Spirit New Challenger,TV,26.0,Finished Airing,2009,Madhouse,Manga,Sports,Combat Sports,Shounen,23.0,PG-13 - Teens 13 or older,8.661,147063.0
32,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama Love is War Season 2,TV,12.0,Finished Airing,2020,A-1 Pictures,Manga,Comedy,Psychological,Seinen,24.0,PG-13 - Teens 13 or older,8.651,733157.0
33,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer -Kimetsu no Yaiba- The Movie Mugen Train,Movie,1.0,Finished Airing,2020,ufotable,Manga,Action,Historical,Shounen,116.0,R - 17+ (violence & profanity),8.651,804595.0
34,Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,TV,13.0,Finished Airing,2012,Brain's Base,Manga,Drama,Iyashikei,Shoujo,24.0,PG-13 - Teens 13 or older,8.651,100912.0
35,Haikyuu!! Second Season,Haikyu!! 2nd Season,TV,25.0,Finished Airing,2015,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.641,850286.0
36,Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,TV,11.0,Finished Airing,2017,Shuka,Manga,Drama,Iyashikei,Shoujo,23.0,PG-13 - Teens 13 or older,8.631,61150.0
37,Shingeki no Kyojin Season 3,Attack on Titan Season 3,TV,12.0,Finished Airing,2018,Wit Studio,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),8.621,394608.0
38,Death Note,Death Note,TV,37.0,Finished Airing,2006,Madhouse,Manga,Supernatural,Psychological,Shounen,23.0,R - 17+ (violence & profanity),8.621,485487.0
39,Hajime no Ippo: Rising,Hajime No Ippo The Fighting!,TV,25.0,Finished Airing,2013,"Madhouse, MAPPA",Manga,Sports,Combat Sports,Shounen,22.0,PG-13 - Teens 13 or older,8.591,124079.0
40,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure Golden Wind,TV,39.0,Finished Airing,2018,David Production,Manga,Action,Organized Crime,Shounen,23.0,R - 17+ (violence & profanity),8.581,583954.0
41,Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV,13.0,Finished Airing,2011,Brain's Base,Manga,Drama,Iyashikei,Shoujo,24.0,PG-13 - Teens 13 or older,8.581,109678.0
42,Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,TV,13.0,Finished Airing,2016,Studio Deen,Manga,Drama,Historical,Josei,26.0,PG-13 - Teens 13 or older,8.581,88413.0
43,Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,TV,11.0,Finished Airing,2016,Shuka,Manga,Drama,Iyashikei,Shoujo,23.0,PG-13 - Teens 13 or older,8.571,67762.0
44,Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,TV,13.0,Finished Airing,2009,Brain's Base,Manga,Drama,Iyashikei,Shoujo,24.0,PG-13 - Teens 13 or older,8.551,116930.0
45,Bakuman. 3rd Season,Bakuman Season 3,TV,25.0,Finished Airing,2012,J.C.Staff,Manga,Comedy,Otaku Culture,Shounen,24.0,PG-13 - Teens 13 or older,8.541,183450.0
46,Haikyuu!! To the Top Part 2,Haikyu!! TO THE TOP 2nd-cour,TV,12.0,Finished Airing,2020,Production I.G,Manga,Sports,School,Shounen,23.0,PG-13 - Teens 13 or older,8.541,403446.0
47,Kenpuu Denki Berserk,Berserk,TV,25.0,Finished Airing,1997,OLM,Manga,Action,Gore,Seinen,25.0,R+ - Mild Nudity,8.541,298861.0
48,Mushishi: Hihamukage,Mushi-shi The Shadow that Devours the Sun,Special,1.0,Finished Airing,2014,Artland,Manga,Adventure,Historical,Seinen,45.0,PG-13 - Teens 13 or older,8.541,61791.0
49,Slam Dunk,Slam Dunk,TV,101.0,Finished Airing,1993,Toei Animation,Manga,Sports,School,Shounen,23.0,PG-13 - Teens 13 or older,8.541,121940.0
50,Shingeki no Kyojin,Attack on Titan,TV,25.0,Finished Airing,2013,Wit Studio,Manga,Action,Gore,Shounen,24.0,R - 17+ (violence & profanity),8.531,519803.0
51,Yakusoku no Neverland,The Promised Neverland,TV,12.0,Finished Airing,2019,CloverWorks,Manga,Mystery,Psychological,Shounen,22.0,R - 17+ (violence & profanity),8.531,148074.0
52,Kimetsu no Yaiba,Demon Slayer Kimetsu no Yaiba,TV,26.0,Finished Airing,2019,ufotable,Manga,Action,Historical,Shounen,23.0,R - 17+ (violence & profanity),8.531,774255.0
53,Gintama Movie 1: Shinyaku Benizakura-hen,Gintama The Movie,Movie,1.0,Finished Airing,2010,Sunrise,Manga,Action,Historical,Shounen,95.0,R - 17+ (violence & profanity),8.521,86839.0
54,Gintama.: Porori-hen,Gintama. Slip Arc,TV,13.0,Finished Airing,2017,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,23.0,PG-13 - Teens 13 or older,8.521,90792.0
55,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ghost in the Shell Stand Alone Complex 2nd GIG,TV,26.0,Finished Airing,2004,Production I.G,Manga,Action,Adult Cast,Seinen,25.0,R - 17+ (violence & profanity),8.521,99200.0
56,Nana,Nana,TV,47.0,Finished Airing,2006,Madhouse,Manga,Drama,Adult Cast,Shoujo,23.0,R+ - Mild Nudity,8.521,218090.0
57,One Punch Man,One Punch Man,TV,12.0,Finished Airing,2015,Madhouse,Web manga,Action,Parody,Seinen,24.0,R - 17+ (violence & profanity),8.511,19066.0
58,Jujutsu Kaisen 0 Movie,Jujutsu Kaisen 0,Movie,1.0,Finished Airing,2021,MAPPA,Manga,Action,School,Shounen,105.0,R - 17+ (violence & profanity),8.511,153422.0
59,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,TV,25.0,Finished Airing,2016,Lerche,Manga,Action,School,Shounen,23.0,PG-13 - Teens 13 or older,8.501,797534.0
60,Banana Fish,Banana Fish,TV,24.0,Finished Airing,2018,MAPPA,Manga,Action,Delinquents,Shoujo,22.0,R - 17+ (violence & profanity),8.501,322124.0
61,Shingeki no Kyojin Season 2,Attack on Titan Season 2,TV,12.0,Finished Airing,2017,Wit Studio,Manga,Action,Gore,Shounen,24.0,R - 17+ (violence & profanity),8.501,650516.0
62,Uchuu Kyoudai,Space Brothers,TV,99.0,Finished Airing,2012,A-1 Pictures,Manga,Comedy,Adult Cast,Seinen,24.0,PG-13 - Teens 13 or older,8.501,49623.0
63,Rainbow: Nisha Rokubou no Shichinin,Rainbow,TV,26.0,Finished Airing,2010,Madhouse,Manga,Drama,Delinquents,Seinen,22.0,R - 17+ (violence & profanity),8.491,146731.0
64,Aria the Origination,Aria the Origination,TV,13.0,Finished Airing,2008,Hal Film Maker,Manga,Fantasy,Iyashikei,Shounen,24.0,G - All Ages,8.491,29586.0
65,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san 3,TV,12.0,Finished Airing,2022,Shin-Ei Animation,Manga,Comedy,Iyashikei,Shounen,24.0,PG-13 - Teens 13 or older,8.471,60843.0
66,Nichijou,Nichijou - My Ordinary Life,TV,26.0,Finished Airing,2011,Kyoto Animation,Manga,Comedy,Gag Humor,Shounen,23.0,PG-13 - Teens 13 or older,8.461,332667.0
67,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho Ghost Files,TV,112.0,Finished Airing,1992,Pierrot,Manga,Action,Martial Arts,Shounen,24.0,PG-13 - Teens 13 or older,8.451,300272.0
68,Golden Kamuy 3rd Season,Golden Kamuy Season 3,TV,12.0,Finished Airing,2020,Geno Studio,Manga,Action,Historical,Seinen,23.0,R - 17+ (violence & profanity),8.451,63802.0
69,Haikyuu!!,Haikyu!!,TV,25.0,Finished Airing,2014,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.451,98221.0
70,Mushishi Zoku Shou: Odoro no Michi,Mushishi Path of Thorns,Special,1.0,Finished Airing,2014,Artland,Manga,Adventure,Adult Cast,Seinen,47.0,PG-13 - Teens 13 or older,8.441,45395.0
71,Kono Oto Tomare! Part 2,Kono Oto Tomare! Sounds of Life Season 2,TV,13.0,Finished Airing,2019,Platinum Vision,Manga,Drama,Music,Shounen,23.0,PG-13 - Teens 13 or older,8.431,78125.0
72,Koukaku Kidoutai: Stand Alone Complex,Ghost in the Shell Stand Alone Complex,TV,26.0,Finished Airing,2002,Production I.G,Manga,Action,Adult Cast,Seinen,25.0,R - 17+ (violence & profanity),8.431,156350.0
73,Mononoke,Mononoke,TV,12.0,Finished Airing,2007,Toei Animation,Original,Fantasy,Adult Cast,Seinen,22.0,R - 17+ (violence & profanity),8.431,81486.0
74,Saiki Kusuo no Ψ-nan 2,The Disastrous Life of Saiki K. 2,TV,24.0,Finished Airing,2018,"J.C.Staff, Egg Firm",Manga,Comedy,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.431,335879.0
75,Saiki Kusuo no Ψ-nan,The Disastrous Life of Saiki K.,TV,120.0,Finished Airing,2016,"J.C.Staff, Egg Firm",Manga,Comedy,Gag Humor,Shounen,5.0,PG-13 - Teens 13 or older,8.421,536527.0
76,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Natsume Yujin-cho the Movie Ephemeral Bond,Movie,1.0,Finished Airing,2018,Shuka,Manga,Drama,Iyashikei,Shoujo,104.0,PG-13 - Teens 13 or older,8.411,21598.0
77,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama Love is War,TV,12.0,Finished Airing,2019,A-1 Pictures,Manga,Comedy,Psychological,Seinen,25.0,PG-13 - Teens 13 or older,8.411,950704.0
78,Houseki no Kuni,Land of the Lustrous,TV,12.0,Finished Airing,2017,Orange,Manga,Action,Anthropomorphic,Seinen,24.0,PG-13 - Teens 13 or older,8.401,173359.0
79,Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,Special,2.0,Finished Airing,2017,Shuka,Manga,Drama,Iyashikei,Shoujo,23.0,PG-13 - Teens 13 or older,8.391,18138.0
80,Non Non Biyori Nonstop,Non Non Biyori Nonstop,TV,12.0,Finished Airing,2021,SILVER LINK.,Manga,Slice of Life,CGDCT,Seinen,24.0,PG-13 - Teens 13 or older,8.391,38677.0
81,3-gatsu no Lion,March Comes In Like a Lion,TV,22.0,Finished Airing,2016,Shaft,Manga,Drama,Childcare,Seinen,25.0,PG-13 - Teens 13 or older,8.391,258283.0
82,Cross Game,Cross Game,TV,50.0,Finished Airing,2009,SynergySP,Manga,Drama,School,Shounen,23.0,PG-13 - Teens 13 or older,8.391,48045.0
83,Dr. Stone: Ryuusui,Dr. Stone Ryusui,Special,1.0,Finished Airing,2022,TMS Entertainment,Manga,Adventure,Time Travel,Shounen,54.0,PG-13 - Teens 13 or older,8.391,54920.0
84,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer Kimetsu no Yaiba Mugen Train Arc,TV,7.0,Finished Airing,2021,ufotable,Manga,Action,Historical,Shounen,24.0,R - 17+ (violence & profanity),8.381,283579.0
85,Usagi Drop,Bunny Drop,TV,11.0,Finished Airing,2011,Production I.G,Manga,Slice of Life,Childcare,Josei,22.0,PG-13 - Teens 13 or older,8.371,229728.0
86,Bakuman. 2nd Season,Bakuman Season 2,TV,25.0,Finished Airing,2011,J.C.Staff,Manga,Comedy,Otaku Culture,Shounen,24.0,PG-13 - Teens 13 or older,8.361,201038.0
87,Haikyuu!! To the Top,Haikyu!! To the Top,TV,13.0,Finished Airing,2020,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.361,496236.0
88,Hellsing Ultimate,Hellsing Ultimate,OVA,10.0,Finished Airing,2006,"Madhouse, Satelight, Graphinica",Manga,Action,Adult Cast,Seinen,49.0,R - 17+ (violence & profanity),8.361,439844.0
89,Kiseijuu: Sei no Kakuritsu,Parasyte The Maxim,TV,24.0,Finished Airing,2014,Madhouse,Manga,Action,Gore,Seinen,23.0,R - 17+ (violence & profanity),8.351,45452.0
90,Kingdom 2nd Season,Kingdom Season 2,TV,39.0,Finished Airing,2013,Pierrot,Manga,Action,Historical,Seinen,25.0,R - 17+ (violence & profanity),8.341,52584.0
91,One Outs,One Outs,TV,25.0,Finished Airing,2008,Madhouse,Manga,Sports,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,8.341,107685.0
92,Mobile Suit Gundam: The Origin,Mobile Suit Gundam The Origin,OVA,6.0,Finished Airing,2015,Sunrise,Manga,Action,Mecha,Shounen,71.0,R+ - Mild Nudity,8.331,26000.0
93,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume’s Book of Friends On a Certain Snowy Day,OVA,1.0,Finished Airing,2014,Brain's Base,Manga,Drama,Iyashikei,Shoujo,23.0,PG-13 - Teens 13 or older,8.331,33338.0
94,Versailles no Bara,The Rose of Versailles,TV,40.0,Finished Airing,1979,Tokyo Movie Shinsha,Manga,Drama,Historical,Shoujo,24.0,PG-13 - Teens 13 or older,8.331,26703.0
95,Natsume Yuujinchou,Natsume's Book of Friends,TV,13.0,Finished Airing,2008,Brain's Base,Manga,Drama,Iyashikei,Shoujo,24.0,PG-13 - Teens 13 or older,8.321,172629.0
96,Natsume Yuujinchou Go Specials,Natsume's Book of Friends Season 5 Specials,Special,2.0,Finished Airing,2017,Shuka,Manga,Drama,Iyashikei,Shoujo,23.0,PG-13 - Teens 13 or older,8.321,18608.0
97,Sakamichi no Apollon,Kids on the Slope,TV,12.0,Finished Airing,2012,"Tezuka Productions, MAPPA",Manga,Drama,Love Polygon,Josei,22.0,PG-13 - Teens 13 or older,8.321,159861.0
98,Initial D First Stage,Initial D First Stage,TV,26.0,Finished Airing,1998,"Gallop, Studio Comet",Manga,Action,Racing,Seinen,25.0,PG-13 - Teens 13 or older,8.321,163194.0
99,Boku dake ga Inai Machi,ERASED,TV,12.0,Finished Airing,2016,A-1 Pictures,Manga,Mystery,Psychological,Seinen,23.0,R - 17+ (violence & profanity),8.311,232902.0
100,Kuroko no Basket 3rd Season,Kuroko's Basketball 3,TV,25.0,Finished Airing,2015,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.311,425617.0
101,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,TV,12.0,Finished Airing,2022,CloverWorks,Manga,Romance,Otaku Culture,Seinen,23.0,PG-13 - Teens 13 or older,8.311,454250.0
102,Detective Conan Movie 06: The Phantom of Baker Street,Case Closed The Phantom of Baker Street,Movie,1.0,Finished Airing,2002,TMS Entertainment,Manga,Adventure,Detective,Shounen,107.0,PG-13 - Teens 13 or older,8.301,43058.0
103,Diamond no Ace: Second Season,Ace of Diamond Second Season,TV,51.0,Finished Airing,2015,"Production I.G, Madhouse",Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.301,70030.0
104,Beck,Beck Mongolian Chop Squad,TV,26.0,Finished Airing,2004,Madhouse,Manga,Comedy,Music,Shounen,25.0,R - 17+ (violence & profanity),8.291,131842.0
105,Dr. Stone,Dr. Stone,TV,24.0,Finished Airing,2019,TMS Entertainment,Manga,Adventure,Survival,Shounen,24.0,PG-13 - Teens 13 or older,8.291,910653.0
106,Kotarou wa Hitorigurashi,Kotaro Lives Alone,ONA,10.0,Finished Airing,2022,LIDENFILMS,Manga,Comedy,Childcare,Seinen,27.0,PG-13 - Teens 13 or older,8.291,55151.0
107,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,TV,94.0,Finished Airing,1996,"Gallop, Studio Deen",Manga,Action,Historical,Shounen,25.0,PG-13 - Teens 13 or older,8.291,223248.0
108,Nodame Cantabile,Nodame Cantabile,TV,23.0,Finished Airing,2007,J.C.Staff,Manga,Comedy,Adult Cast,Josei,22.0,PG-13 - Teens 13 or older,8.281,124030.0
109,Ashita no Joe,Tomorrow's Joe,TV,79.0,Finished Airing,1970,Mushi Production,Manga,Action,Combat Sports,Shounen,25.0,PG-13 - Teens 13 or older,8.281,20410.0
110,Gin no Saji 2nd Season,Silver Spoon 2nd Season,TV,11.0,Finished Airing,2014,A-1 Pictures,Manga,Comedy,School,Shounen,24.0,PG-13 - Teens 13 or older,8.281,84866.0
111,Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji Ultimate Survivor,TV,26.0,Finished Airing,2007,Madhouse,Manga,Suspense,Adult Cast,Seinen,23.0,R - 17+ (violence & profanity),8.281,147245.0
112,Koukaku Kidoutai,Ghost in the Shell,Movie,1.0,Finished Airing,1995,Production I.G,Manga,Action,Adult Cast,Seinen,82.0,R+ - Mild Nudity,8.271,299984.0
113,Planetes,Planetes,TV,26.0,Finished Airing,2003,Sunrise,Manga,Drama,Adult Cast,Seinen,25.0,PG-13 - Teens 13 or older,8.271,71868.0
114,Diamond no Ace: Act II,Ace of Diamond Act II,TV,52.0,Finished Airing,2019,Madhouse,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.261,38747.0
115,Hajime no Ippo: Champion Road,Fighting Spirit Champion Road,Special,1.0,Finished Airing,2003,Madhouse,Manga,Sports,Combat Sports,Shounen,90.0,PG-13 - Teens 13 or older,8.261,72854.0
116,Gyakkyou Burai Kaiji: Hakairoku-hen,Kaiji Against All Rules,TV,26.0,Finished Airing,2011,Madhouse,Manga,Suspense,Adult Cast,Seinen,24.0,R - 17+ (violence & profanity),8.251,97202.0
117,Kuroshitsuji Movie: Book of the Atlantic,Black Butler Book of the Atlantic,Movie,1.0,Finished Airing,2017,A-1 Pictures,Manga,Action,Historical,Shounen,100.0,R - 17+ (violence & profanity),8.251,79413.0
118,Yuukoku no Moriarty Part 2,Moriarty the Patriot Season 2,TV,13.0,Finished Airing,2021,Production I.G,Manga,Mystery,Historical,Shounen,23.0,R - 17+ (violence & profanity),8.251,86118.0
119,Dororo,Dororo,TV,24.0,Finished Airing,2019,"Tezuka Productions, MAPPA",Manga,Action,Historical,Shounen,24.0,R - 17+ (violence & profanity),8.241,540176.0
120,Naruto: Shippuuden,Naruto Shippuden,TV,500.0,Finished Airing,2007,Pierrot,Manga,Action,Martial Arts,Shounen,23.0,PG-13 - Teens 13 or older,8.241,470641.0
121,Golden Kamuy 2nd Season,Golden Kamuy Season 2,TV,12.0,Finished Airing,2018,Geno Studio,Manga,Action,Historical,Seinen,23.0,R - 17+ (violence & profanity),8.231,92466.0
122,Kuroko no Basket 2nd Season,Kuroko's Basketball 2,TV,25.0,Finished Airing,2013,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.231,495874.0
123,Bungou Stray Dogs 3rd Season,Bungo Stray Dogs 3,TV,12.0,Finished Airing,2019,Bones,Manga,Action,Super Power,Seinen,23.0,R - 17+ (violence & profanity),8.221,270492.0
124,Detective Conan Movie 13: The Raven Chaser,Detective Conan Movie 13 The Raven Chaser,Movie,1.0,Finished Airing,2009,Tokyo Movie Shinsha,Manga,Action,Detective,Shounen,111.0,PG-13 - Teens 13 or older,8.221,31048.0
125,Fruits Basket 1st Season,Fruits Basket 2019 1st Season,TV,25.0,Finished Airing,2019,TMS Entertainment,Manga,Drama,Love Polygon,Shoujo,23.0,PG-13 - Teens 13 or older,8.221,332989.0
126,Kono Sekai no Katasumi ni,In This Corner of the World,Movie,1.0,Finished Airing,2016,MAPPA,Manga,Drama,Historical,Seinen,168.0,PG-13 - Teens 13 or older,8.221,70359.0
127,SKET Dance,SKET Dance,TV,77.0,Finished Airing,2011,Tatsunoko Production,Manga,Comedy,School,Shounen,24.0,PG-13 - Teens 13 or older,8.221,80349.0
128,Trigun,Trigun,TV,26.0,Finished Airing,1998,Madhouse,Manga,Action,Adult Cast,Shounen,24.0,PG-13 - Teens 13 or older,8.221,335568.0
129,Saiki Kusuo no Ψ-nan: Kanketsu-hen,The Disastrous Life of Saiki K. Final Arc,Special,1.0,Finished Airing,2018,"J.C.Staff, Egg Firm",Manga,Comedy,Gag Humor,Shounen,47.0,PG-13 - Teens 13 or older,8.211,114407.0
130,Vanitas no Karte Part 2,The Case Study of Vanitas Part 2,TV,12.0,Finished Airing,2022,Bones,Manga,Supernatural,Historical,Shounen,23.0,R - 17+ (violence & profanity),8.211,83254.0
131,Hachimitsu to Clover II,Honey and Clover II,TV,12.0,Finished Airing,2006,J.C.Staff,Manga,Drama,Love Polygon,Josei,23.0,PG-13 - Teens 13 or older,8.211,52067.0
132,Horimiya,Horimiya,TV,13.0,Finished Airing,2021,CloverWorks,Manga,Romance,School,Shounen,23.0,PG-13 - Teens 13 or older,8.211,657183.0
133,Berserk: Ougon Jidai-hen III - Kourin,Berserk The Golden Age Arc III - The Advent,Movie,1.0,Finished Airing,2013,Studio 4°C,Manga,Action,Gore,Seinen,110.0,R+ - Mild Nudity,8.201,127804.0
134,Bungou Stray Dogs 2nd Season,Bungo Stray Dogs 2,TV,12.0,Finished Airing,2016,Bones,Manga,Action,Super Power,Seinen,23.0,R - 17+ (violence & profanity),8.201,422923.0
135,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Card Captor Sakura Movie 2 The Sealed Card,Movie,1.0,Finished Airing,2000,Madhouse,Manga,Comedy,Mahou Shoujo,Shoujo,82.0,PG - Children,8.201,63225.0
136,InuYasha: Kanketsu-hen,InuYasha The Final Act,TV,26.0,Finished Airing,2009,Sunrise,Manga,Action,Historical,Shounen,24.0,PG-13 - Teens 13 or older,8.201,132024.0
137,Kamisama Hajimemashita◎,Kamisama Kiss Season 2,TV,12.0,Finished Airing,2015,TMS Entertainment,Manga,Comedy,Mythology,Shoujo,23.0,PG-13 - Teens 13 or older,8.201,191651.0
