,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
439,Gokinjo Monogatari,Neighborhood Stories,TV,50.0,Finished Airing,1995,Toei Animation,Manga,Comedy,Visual Arts,Shoujo,25.0,PG-13 - Teens 13 or older,7.591,4554.0
440,Majin Tantei Nougami Neuro,Neuro Supernatural Detective,TV,25.0,Finished Airing,2007,Madhouse,Manga,Comedy,Mythology,Shounen,23.0,R - 17+ (violence & profanity),7.591,26876.0
441,Nisekoi,Nisekoi False Love,TV,20.0,Finished Airing,2014,Shaft,Manga,Comedy,Harem,Shounen,24.0,PG-13 - Teens 13 or older,7.591,615696.0
442,Runway de Waratte,Smile Down the Runway,TV,12.0,Finished Airing,2020,Ezόla,Manga,Drama,School,Shounen,24.0,PG-13 - Teens 13 or older,7.591,48158.0
443,Uchuu Kyoudai: Number Zero,Space Brothers #0,Movie,1.0,Finished Airing,2014,A-1 Pictures,Manga,Comedy,Adult Cast,Seinen,95.0,PG-13 - Teens 13 or older,7.591,1731.0
444,Tensura Nikki: Tensei shitara Slime Datta Ken,The Slime Diaries That Time I Got Reincarnated as a Slime,TV,12.0,Finished Airing,2021,8bit,Manga,Comedy,Isekai,Shounen,23.0,PG-13 - Teens 13 or older,7.581,118231.0
445,Tsurezure Children,Tsuredure Children,TV,12.0,Finished Airing,2017,Studio Gokumi,4-koma manga,Comedy,School,Shounen,12.0,PG-13 - Teens 13 or older,7.581,360718.0
446,World Trigger,World Trigger,TV,73.0,Finished Airing,2014,Toei Animation,Manga,Action,School,Shounen,23.0,PG-13 - Teens 13 or older,7.581,131444.0
447,Ao Haru Ride OVA,Blue Spring Ride OVA,OVA,2.0,Finished Airing,2014,Production I.G,Manga,Romance,School,Shoujo,21.0,PG-13 - Teens 13 or older,7.581,74297.0
448,Boku no Hero Academia the Movie 1: Futari no Hero,My Hero Academia Two Heroes,Movie,1.0,Finished Airing,2018,Bones,Manga,Action,Super Power,Shounen,96.0,PG-13 - Teens 13 or older,7.571,412023.0
449,Boku no Hero Academia the Movie 3: World Heroes' Mission,My Hero Academia World Heroes' Mission,Movie,1.0,Finished Airing,2021,Bones,Manga,Action,Super Power,Shounen,105.0,PG-13 - Teens 13 or older,7.571,67601.0
450,Hakuouki: Hekketsuroku,Hakuoki Demon of the Fleeting Blossom - Record of the Jade Blood,TV,10.0,Finished Airing,2010,Studio Deen,Visual novel,Action,Historical,Josei,24.0,R - 17+ (violence & profanity),7.571,39131.0
451,Hataraku Saibou,Cells at Work!,TV,13.0,Finished Airing,2018,David Production,Manga,Comedy,Anthropomorphic,Shounen,23.0,PG-13 - Teens 13 or older,7.571,291031.0
452,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,Kaguya-sama Love is War OVA,OVA,1.0,Finished Airing,2021,A-1 Pictures,Manga,Comedy,Romantic Subtext,Seinen,24.0,PG-13 - Teens 13 or older,7.571,102822.0
453,Saint Seiya: Meiou Hades Elysion-hen,Saint Seiya The Hades Chapter - Elysion,OVA,6.0,Finished Airing,2008,Toei Animation,Manga,Action,Super Power,Shounen,25.0,PG-13 - Teens 13 or older,7.571,24164.0
454,To LOVE-Ru Darkness 2nd Specials,To LOVE Ru Darkness 2 Specials,Special,2.0,Finished Airing,2016,Xebec,Manga,Comedy,Harem,Shounen,23.0,R+ - Mild Nudity,7.571,46552.0
455,Ushio to Tora (TV),Ushio and Tora,TV,26.0,Finished Airing,2015,"MAPPA, Studio VOLN",Manga,Action,Mythology,Shounen,24.0,PG-13 - Teens 13 or older,7.571,95027.0
456,Sakamoto Desu ga?,Haven't You Heard? I'm Sakamoto,TV,12.0,Finished Airing,2016,Studio Deen,Manga,Comedy,Gag Humor,Seinen,24.0,PG-13 - Teens 13 or older,7.561,358186.0
457,Seitokai Yakuindomo,Student Council Staff Members,TV,13.0,Finished Airing,2010,GoHands,4-koma manga,Comedy,Gag Humor,Shounen,24.0,R - 17+ (violence & profanity),7.561,210632.0
458,Shounen Onmyouji,Shonen Onmyoji,TV,26.0,Finished Airing,2006,Studio Deen,Light novel,Action,Historical,Shoujo,23.0,PG-13 - Teens 13 or older,7.561,19361.0
459,Sora no Otoshimono: Tokeijikake no Angeloid,Heaven's Lost Property the Movie The Angeloid of Clockwork,Movie,1.0,Finished Airing,2011,AIC ASTA,Manga,Comedy,Harem,Shounen,97.0,R - 17+ (violence & profanity),7.561,68683.0
460,Yamada-kun to 7-nin no Majo,Yamada-kun and the Seven Witches,TV,12.0,Finished Airing,2015,LIDENFILMS,Manga,Comedy,Harem,Shounen,24.0,PG-13 - Teens 13 or older,7.561,410196.0
461,Demi-chan wa Kataritai,Interviews With Monster Girls,TV,12.0,Finished Airing,2017,A-1 Pictures,Manga,Comedy,School,Seinen,23.0,PG-13 - Teens 13 or older,7.561,202741.0
462,Gensoumaden Saiyuuki,Saiyuki,TV,50.0,Finished Airing,2000,Pierrot,Manga,Action,Mythology,Shounen,23.0,R - 17+ (violence & profanity),7.561,20737.0
463,Gugure! Kokkuri-san,GUGURE! KOKKURI-SAN,TV,12.0,Finished Airing,2014,TMS Entertainment,4-koma manga,Comedy,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,7.561,76303.0
464,Hinomaruzumou,Hinomaru Sumo,TV,24.0,Finished Airing,2018,Gonzo,Manga,Sports,Combat Sports,Shounen,23.0,PG-13 - Teens 13 or older,7.561,49307.0
465,InuYasha Movie 1: Toki wo Koeru Omoi,InuYasha the Movie Affections Touching Across Time,Movie,1.0,Finished Airing,2001,Sunrise,Manga,Action,Historical,Shounen,99.0,PG-13 - Teens 13 or older,7.561,53318.0
466,Mutsu Enmei Ryuu Gaiden: Shura no Toki,Time of Shura,TV,26.0,Finished Airing,2004,Studio Comet,Manga,Action,Historical,Shounen,23.0,PG-13 - Teens 13 or older,7.551,9590.0
467,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X The Motion Picture,Movie,1.0,Finished Airing,1997,Gallop,Manga,Drama,Historical,Shounen,91.0,R - 17+ (violence & profanity),7.551,26258.0
468,Shin Tennis no Ouji-sama,The Prince of Tennis II,TV,13.0,Finished Airing,2012,"Production I.G, M.S.C",Manga,Sports,School,Shounen,23.0,PG-13 - Teens 13 or older,7.551,29408.0
469,Shoukoku no Altair,Altair A Record of Battles,TV,24.0,Finished Airing,2017,MAPPA,Manga,Adventure,Historical,Shounen,24.0,PG-13 - Teens 13 or older,7.551,22049.0
470,Tonari no Seki-kun,Tonari no Seki-kun The Master of Killing Time,TV,21.0,Finished Airing,2014,Shin-Ei Animation,Manga,Comedy,School,Seinen,7.0,G - All Ages,7.551,100076.0
